year,cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
2000,95.1,1.0515247108307046,Fredericton,municipal,47154,47016,0.01365311303052562,3067724255,3225787860.147214,65057.561500615004,68409.63354428498,12936676.0,7086551,6796657,1060612,0,424089,8545878,1203130,26950,2907280,2770310,1950473.0,8698852,0,54407458.0,41883986,6902156,662465,2670610,2150965,137276,0,0,54407458
2000,95.1,1.0515247108307046,Fredericton Junction,PPSA,736,714,0.01255920345168584,22671820,23839978.969505787,30804.103260869564,32391.275773785037,83254.0,63300,57643,27500,0,6300,151250,25950,0,5000,4000,11800.0,0,0,435997.0,284740,91385,34948,0,525,0,7000,17399,435997
2000,95.1,1.0515247108307046,Gagetown,PPSA,660,607,0.0116835053783435,23383222,24588035.75184017,35429.124242424245,37254.59962400026,43577.0,56925,18250,0,0,1500,122455,33000,2000,27050,14500,33837.0,12149,0,365243.0,273198,64457,13876,0,3900,0,0,9812,365243
2000,95.1,1.0515247108307046,Grand Bay-Westfield,PPSA,4880,3613,0.01250038337359025,170525570,179311850.68349108,34943.764344262294,36744.2316974367,414980.0,435022,207143,0,5534,16334,804306,46,0,128694,252655,327403.0,81000,0,2673117.0,2131635,404564,53773,0,26425,45159,0,11561,2673117
2000,95.1,1.0515247108307046,Grand Falls/Grand-Sault,municipal,6133,6083,0.01348331170198554,282129130,296665751.8401683,46001.814772541984,48372.04497638485,661638.0,1126661,111838,63000,0,3000,1162127,240500,0,211869,485840,981380.0,31072,27810,5106735.0,3804035,725960,402600,100640,73500,0,0,0,5106735
2000,95.1,1.0515247108307046,Grand Manan,PPSA,2577,2456,0.01096768334544906,88994546,93579964.24815984,34534.166084594486,36313.529005882745,286792.0,221622,55900,0,0,8600,310200,244744,0,12400,98800,52030.0,0,0,1291088.0,976064,208453,12825,19175,13170,35444,0,25957,1291088
2000,95.1,1.0515247108307046,Grande-Anse,PPSA,965,981,0.01224999299759354,26669403,28043536.277602527,27636.687046632123,29060.659355028525,157620.0,82990,42125,0,0,0,157155,34030,0,18961,161205,70371.0,5000,383,729840.0,326700,127711,163988,73148,4793,33500,0,0,729840
2000,95.1,1.0515247108307046,Hampton,MPSA,4081,3590,0.01135926678890967,137690225,144784674.02733967,33739.33472188189,35477.74418704721,283538.0,281500,175000,10000,113063,21200,603500,126000,0,42200,264170,207210.0,210000,0,2337381.0,1564060,321232,309563,53740,35525,0,0,53261,2337381
2000,95.1,1.0515247108307046,Hartland,PPSA,892,890,0.01446965256176716,37677546,39618870.66246057,42239.40134529148,44415.7742852697,89692.0,148755,43520,25223,2000,4000,146265,44200,68535,0,210755,90285.0,0,54038,927268.0,545181,144162,58159,58500,109700,0,11566,0,927268
2000,95.1,1.0515247108307046,Harvey,PPSA,383,372,0.009736782754925542,11736731,12341462.670872767,30644.20626631854,32223.140132827066,26642.0,34000,9800,0,0,1000,51035,10000,0,1050,600,8000.0,0,4214,146341.0,114278,19750,0,0,12313,0,0,0,146341
2000,95.1,1.0515247108307046,Hillsborough,PPSA,1272,1239,0.01257488822490637,35161903,36973609.884332284,27643.005503144654,29067.30336818576,133694.0,109392,48560,7080,750,13530,214197,41334,8500,8500,126850,35215.0,0,19539,767141.0,442157,161687,40717,82780,300,0,39500,0,767141
2000,95.1,1.0515247108307046,Kedgwick,PPSA,1221,1118,0.01318065910423775,30863100,32453312.30283912,25276.904176904176,26579.289355314595,122165.0,105006,47459,25000,1100,0,116091,55000,7500,7000,135000,77086.0,5000,0,703407.0,406796,162213,88241,30445,14025,0,0,1687,703407
2000,95.1,1.0515247108307046,Lac Baker,PPSA,226,229,0.01220105416535705,4473302,4703787.592008413,19793.37168141593,20813.219433665545,18495.0,19436,22000,0,0,0,29305,10568,0,3111,18000,150.0,0,0,121065.0,54579,35424,25946,5000,100,0,0,16,121065
